

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:02:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.042467407, A.D. 2021-Dec-25 13:01:09.1840, -1.064540562003296E+07,  1.473427714950064E+08,  1.826083264395595E+04, -3.021590055185996E+01, -2.012337060423782E+00,  7.811463232684224E-04,
2459574.052884074, A.D. 2021-Dec-25 13:16:09.1840, -1.067259978487338E+07,  1.473409579171533E+08,  1.826153695947677E+04, -3.021557670544793E+01, -2.017835947008320E+00,  7.839991383765677E-04,
2459574.063300741, A.D. 2021-Dec-25 13:31:09.1840, -1.069979365780424E+07,  1.473391393903008E+08,  1.826224384215474E+04, -3.021525186394096E+01, -2.023334836847111E+00,  7.868511086808194E-04,
2459574.073717407, A.D. 2021-Dec-25 13:46:09.1840, -1.072698723792990E+07,  1.473373159144460E+08,  1.826295329120755E+04, -3.021492602722066E+01, -2.028833729831550E+00,  7.897022200381576E-04,
2459574.084134074, A.D. 2021-Dec-25 14:01:09.1840, -1.075418052435463E+07,  1.473354874895862E+08,  1.826366530586779E+04, -3.021459919516836E+01, -2.034332625852865E+00,  7.925524582884647E-04,
2459574.094550741, A.D. 2021-Dec-25 14:16:09.1840, -1.078137351618257E+07,  1.473336541157186E+08,  1.826437988537550E+04, -3.021427136766516E+01, -2.039831524802121E+00,  7.954018092554138E-04,
2459574.104967407, A.D. 2021-Dec-25 14:31:09.1840, -1.080856621251776E+07,  1.473318157928407E+08,  1.826509702886641E+04, -3.021394254459186E+01, -2.045330426570222E+00,  7.982502587471352E-04,
2459574.115384074, A.D. 2021-Dec-25 14:46:09.1840, -1.083575861246413E+07,  1.473299725209500E+08,  1.826581673555076E+04, -3.021361272582903E+01, -2.050829331047904E+00,  8.010977925552165E-04,
2459574.125800741, A.D. 2021-Dec-25 15:01:09.1840, -1.086295071512551E+07,  1.473281243000440E+08,  1.826653900460899E+04, -3.021328191125698E+01, -2.056328238125738E+00,  8.039443964543702E-04,
2459574.136217407, A.D. 2021-Dec-25 15:16:09.1840, -1.089014251960561E+07,  1.473262711301206E+08,  1.826726383519173E+04, -3.021295010075572E+01, -2.061827147694128E+00,  8.067900562039876E-04,
