

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:00:56 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.302884074, A.D. 2021-Dec-25 19:16:09.1840, -1.129513251296172E+07,  1.473751230725098E+08, -1.832950862434506E+04, -3.007547296411805E+01,  4.174745534111365E-01, -1.119277191195765E+00,
2459574.313300741, A.D. 2021-Dec-25 19:31:09.1840, -1.132220630672470E+07,  1.473754803102967E+08, -1.932945459195226E+04, -3.008835100546202E+01,  3.766734824288928E-01, -1.102961557416278E+00,
2459574.323717407, A.D. 2021-Dec-25 19:46:09.1840, -1.134929126661226E+07,  1.473758015835257E+08, -2.031506829243898E+04, -3.010030112229413E+01,  3.375362831186162E-01, -1.087407926013606E+00,
2459574.334134074, A.D. 2021-Dec-25 20:01:09.1840, -1.137638660273197E+07,  1.473760883203651E+08, -2.128701949039102E+04, -3.011142543829290E+01,  2.998993942148169E-01, -1.072598947964435E+00,
2459574.344550741, A.D. 2021-Dec-25 20:16:09.1840, -1.140349160724066E+07,  1.473763418224449E+08, -2.224594578006119E+04, -3.012179888702119E+01,  2.636629504988570E-01, -1.058454780829512E+00,
2459574.354967407, A.D. 2021-Dec-25 20:31:09.1840, -1.143060563656527E+07,  1.473765633024903E+08, -2.319242232530564E+04, -3.013149150950085E+01,  2.287229135429732E-01, -1.044924890860858E+00,
2459574.365384074, A.D. 2021-Dec-25 20:46:09.1840, -1.145772810624965E+07,  1.473767538845072E+08, -2.412698124578595E+04, -3.014056486461137E+01,  1.949859162879826E-01, -1.031964030854111E+00,
2459574.375800741, A.D. 2021-Dec-25 21:01:09.1840, -1.148485848390114E+07,  1.473769146127477E+08, -2.505011605241895E+04, -3.014907327899266E+01,  1.623678868929496E-01, -1.019531546000624E+00,
2459574.386217407, A.D. 2021-Dec-25 21:16:09.1840, -1.151199628316157E+07,  1.473770464595391E+08, -2.596228551068902E+04, -3.015706488180002E+01,  1.307928840142959E-01, -1.007590788225288E+00,
2459574.396634074, A.D. 2021-Dec-25 21:31:09.1840, -1.153914105852892E+07,  1.473771503321424E+08, -2.686391701616347E+04, -3.016458246634110E+01,  1.001921062221635E-01, -9.961086195496595E-01,
