

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:03:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.313300741, A.D. 2021-Dec-25 19:31:09.1840, -1.173041514064653E+07,  1.473722017306653E+08,  5.185805122257024E+04, -3.035833967965894E+01, -3.154115455126137E+00, -3.137666157777375E-02,
2459574.323717407, A.D. 2021-Dec-25 19:46:09.1840, -1.175773642110184E+07,  1.473693603374080E+08,  5.182971865382791E+04, -3.035561642345669E+01, -3.160090889834646E+00, -3.158458585806856E-02,
2459574.334134074, A.D. 2021-Dec-25 20:01:09.1840, -1.178505524937477E+07,  1.473665135686731E+08,  5.180119899774343E+04, -3.035289038731590E+01, -3.166060959795626E+00, -3.179241104164854E-02,
2459574.344550741, A.D. 2021-Dec-25 20:16:09.1840, -1.181237162296835E+07,  1.473636614292919E+08,  5.177249234404415E+04, -3.035016158228716E+01, -3.172025658147165E+00, -3.200013594494622E-02,
2459574.354967407, A.D. 2021-Dec-25 20:31:09.1840, -1.183968553939554E+07,  1.473608039241019E+08,  5.174359878349304E+04, -3.034743001944639E+01, -3.177984978042625E+00, -3.220775938309695E-02,
2459574.365384074, A.D. 2021-Dec-25 20:46:09.1840, -1.186699699617933E+07,  1.473579410579470E+08,  5.171451840793341E+04, -3.034469570989482E+01, -3.183938912650729E+00, -3.241528016994089E-02,
2459574.375800741, A.D. 2021-Dec-25 21:01:09.1840, -1.189430599085268E+07,  1.473550728356768E+08,  5.168525131034106E+04, -3.034195866475908E+01, -3.189887455155640E+00, -3.262269711802368E-02,
2459574.386217407, A.D. 2021-Dec-25 21:16:09.1840, -1.192161252095857E+07,  1.473521992621474E+08,  5.165579758463800E+04, -3.033921889519120E+01, -3.195830598757048E+00, -3.283000903859645E-02,
2459574.396634074, A.D. 2021-Dec-25 21:31:09.1840, -1.194891658405005E+07,  1.473493203422208E+08,  5.162615732592344E+04, -3.033647641236863E+01, -3.201768336670249E+00, -3.303721474162113E-02,
2459574.407050741, A.D. 2021-Dec-25 21:46:09.1840, -1.197621817769022E+07,  1.473464360807651E+08,  5.159633063032478E+04, -3.033373122749431E+01, -3.207700662126231E+00, -3.324431303576714E-02,
